Amount,CustomerID,MerchantID,TransactionType,Location,FraudFlag
806.95,1637,800,4,1,1
4648.56,2775,357,4,4,1
4040.79,4381,927,1,1,1
3167.39,1929,747,2,2,0
4357.43,4984,798,0,0,1
4018.56,4460,317,2,4,1
933.66,2880,527,1,1,0
4462.9,4729,893,4,0,0
2697.17,4835,267,1,2,1
4037.39,1182,633,1,3,0
4480.56,2844,558,2,4,0
1590.7,4377,870,0,0,0
551.15,1071,996,3,2,1
1140.45,4290,642,3,2,0
2136.11,3766,363,0,4,0
4090.26,4244,560,4,4,0
4303.79,2676,784,1,1,0
35.75,2295,318,4,1,0
2554.23,3773,394,1,4,0
2087.64,4539,800,3,4,0
1111.32,3316,787,0,0,0
600.21,2043,932,2,1,1
1688.74,3625,850,2,2,0
4714.61,4042,440,0,1,1
1616.69,1814,708,3,1,1
2594.43,2526,865,1,4,0
3515.39,3194,764,2,4,0
1818.78,4500,341,3,1,1
4858.94,4236,230,0,3,1
4812.27,3937,422,4,3,0
1259.66,1309,465,3,1,0
2486.75,3565,481,3,3,0
1505.09,3061,987,4,1,1
1424.92,1131,580,3,4,1
185.4,2877,755,2,4,0
3048.21,3802,261,2,4,0
2513.89,3486,912,2,2,0
258.34,3790,720,3,4,1
1393.95,1739,270,3,4,0
4541.42,4745,801,3,1,1
1198.57,1794,735,0,3,0
725.33,3310,339,4,3,1
2447.77,3690,515,3,4,0
4928.27,4296,539,4,4,1
1211.03,1257,789,1,4,0
3361.01,2257,925,2,1,1
3808.34,4407,727,0,1,0
1188.95,3456,740,4,1,1
3641.35,2851,615,2,3,0
1839.55,1974,666,0,2,0
3161.9,2047,574,2,3,0
3168.02,1270,490,3,1,0
2679.34,2118,242,3,0,0
452.36,1141,252,2,2,0
4176.68,4765,987,0,4,0
1604.58,4789,431,2,3,0
933.41,1901,411,1,2,0
204.83,4021,207,0,0,0
2954.87,4152,833,0,2,0
3388.14,1273,682,2,3,0
83.92,3323,241,4,1,1
2560.95,4954,532,2,4,0
1133.25,1464,432,4,1,1
3226.22,2231,269,0,1,0
872.66,2319,215,3,3,1
3455.0,4110,268,3,1,0
1934.29,1287,252,2,1,1
4683.71,4195,884,4,3,0
688.47,1875,973,2,3,0
1705.99,2992,578,1,0,0
568.25,4354,662,2,1,0
4623.54,3925,726,2,2,0
4386.82,3227,981,2,4,0
1290.45,2120,878,2,4,1
3300.26,2214,262,4,3,0
4086.29,4145,460,4,3,0
2776.45,1446,699,4,0,1
2648.72,3832,320,1,1,1
1210.02,4568,439,1,3,0
466.42,3608,664,2,3,1
4486.18,3531,306,4,4,0
4502.19,3896,379,1,1,0
3165.87,1721,215,3,0,0
1695.81,3163,554,2,3,0
1746.7,3582,508,0,3,0
3630.05,4169,926,4,3,0
4485.65,2351,788,2,4,0
4435.55,4980,936,2,3,0
3899.6,1406,804,0,3,1
3210.52,4384,380,3,4,1
421.62,2725,373,1,3,1
808.98,1693,553,1,1,1
4492.87,4219,553,0,1,1
3032.54,4413,418,0,4,1
46.98,1494,854,1,1,0
508.26,1947,514,3,0,0
3317.85,1022,633,3,3,0
26.3,2128,481,2,0,0
804.88,2698,458,0,1,0
2744.12,4650,758,0,4,0
3459.78,4873,204,0,4,1
3260.15,4872,773,1,0,0
1122.12,1557,795,1,1,0
3561.18,2616,844,1,3,0
1187.01,1940,593,3,1,1
1627.67,4730,535,1,1,0
3732.71,2245,262,2,4,0
3248.51,3902,992,1,2,1
4246.27,4086,243,3,3,1
3288.41,3938,352,0,3,1
2841.97,2656,981,2,4,1
469.28,1077,882,3,1,0
1839.21,2345,355,4,4,1
1326.75,1806,677,0,1,0
1220.7,4312,474,1,2,1
4865.08,2041,557,3,2,0
1966.1,1767,625,4,0,0
4460.34,1453,731,3,1,0
3156.06,4514,682,1,4,0
3974.26,3975,413,3,4,0
2513.68,3324,278,4,4,0
2884.94,2447,338,3,0,1
2463.1,2499,297,2,3,0
977.02,2050,863,2,4,0
3612.54,3561,397,1,2,1
1404.58,2888,984,4,4,1
122.56,3511,355,4,4,0
3227.72,3854,249,4,4,0
886.38,3871,678,4,3,1
4702.35,1362,427,4,4,0
4769.69,4454,656,0,3,0
4574.41,3798,721,3,3,0
1851.42,1524,348,4,0,1
78.27,4453,257,2,2,0
4641.66,4255,361,3,4,0
2141.49,2217,676,1,4,1
4833.31,2485,306,1,4,0
4818.14,3103,626,4,3,0
4265.19,2253,594,0,1,0
1472.95,3536,385,0,2,1
1926.1,4099,757,3,4,1
4255.83,2855,645,0,1,1
1585.29,4654,840,1,1,0
848.29,1721,647,4,1,0
2784.45,2983,286,2,2,0
4680.84,2207,448,1,1,0
3480.45,2448,639,1,4,1
2850.74,2398,456,3,4,0
486.79,4939,476,0,0,1
3075.42,3088,989,2,3,0
4950.28,2507,637,2,1,0
701.28,2003,715,0,3,1
2592.13,3307,776,4,3,0
4386.99,3488,401,0,3,1
3704.1,1925,774,4,3,0
3485.38,1855,854,2,3,1
3512.72,1083,955,3,4,1
1798.1,3093,996,1,2,0
1468.67,3487,379,2,1,0
4047.0,4742,885,2,1,0
4050.76,4927,524,2,4,1
4335.49,2542,822,1,4,0
4566.29,1985,886,4,3,0
2557.2,2868,674,3,2,1
2508.08,4509,864,3,1,1
3991.68,1135,599,3,0,1
3250.17,2206,416,4,4,0
3510.13,2732,652,0,0,0
3979.17,2195,603,0,1,1
4450.14,1908,439,3,4,0
1690.64,3908,937,2,1,1
1878.54,3835,385,2,4,1
470.82,1589,247,1,1,0
2891.82,2951,585,0,0,0
180.68,1955,407,2,2,0
2328.52,3737,356,3,4,0
2713.68,3586,424,1,0,0
1433.42,2143,343,0,1,1
2954.58,4352,618,1,0,0
153.47,2331,310,2,4,0
187.7,3755,664,3,0,0
4113.18,4348,331,3,1,0
1801.59,2553,824,3,3,0
636.18,3342,800,2,2,0
2611.69,2806,872,4,2,0
3850.2,3100,533,3,3,0
1079.89,1805,274,4,4,0
3114.83,2455,992,3,0,1
427.65,1051,611,4,0,0
259.36,3775,718,0,3,0
2657.24,1071,824,0,3,1
2703.63,1027,235,3,1,1
3187.51,1468,977,1,1,0
3630.73,4983,824,1,2,0
4879.28,1763,422,2,4,1
2581.99,3933,922,0,4,0
1615.46,3959,729,0,3,0
3976.14,3594,440,1,2,0
1354.89,2424,333,3,2,1
2195.42,3248,931,2,1,0
393.2,4832,590,0,0,0
127.73,4682,301,2,4,0
4813.28,1819,851,0,2,0
4180.06,2489,880,4,1,0
3480.18,2675,697,4,1,1
2045.36,4666,710,2,1,0
867.3,1559,902,1,0,1
783.03,4861,736,1,2,0
1251.96,1378,744,0,3,0
2746.58,4831,542,4,3,0
3573.27,2918,205,4,1,0
3301.33,4248,393,2,1,0
1400.39,2075,941,2,0,1
4774.37,1078,336,1,1,0
3689.75,2408,672,1,2,0
2772.22,1833,415,1,1,1
3058.99,4647,548,3,1,0
2098.58,2031,382,4,2,0
1239.41,4285,367,4,4,0
1780.51,3072,993,2,3,0
3789.47,1449,237,4,1,1
72.95,3815,874,2,2,0
581.25,3802,670,3,3,1
230.97,2992,651,1,0,1
204.6,4528,689,3,4,0
4277.45,2484,341,1,1,0
3518.59,3245,959,1,4,1
2371.39,4165,302,2,1,1
490.07,2742,910,1,1,0
2458.59,2970,911,3,1,1
2367.89,3484,241,0,4,1
866.84,2550,346,2,0,0
2169.82,1689,265,1,2,1
1993.13,2990,392,1,2,0
3079.63,2401,497,4,0,0
3175.83,1586,237,2,0,0
227.47,3151,701,2,1,0
1873.69,2829,852,3,1,1
3129.67,4751,817,0,2,0
2516.18,2985,627,3,1,0
4282.59,1626,863,3,1,1
3293.81,3031,551,3,0,0
815.51,4110,525,0,4,0
353.77,3505,237,3,3,0
3212.45,1363,296,2,3,0
133.53,4856,307,0,1,1
2929.29,3182,830,1,1,0
4701.21,1373,350,4,3,0
2877.8,4303,273,4,0,0
1941.46,3086,256,2,3,0
3216.8,2987,534,4,3,0
2291.81,4874,451,4,3,0
2728.54,3866,966,4,1,0
4707.38,3094,453,1,1,0
1931.13,3083,584,4,3,0
4805.99,4903,655,3,1,0
4526.85,3142,458,2,3,0
979.76,4032,981,2,0,1
347.74,2384,664,2,1,1
504.79,2548,233,1,4,0
92.09,2169,694,1,1,1
473.12,2940,525,4,0,1
3415.35,1367,437,3,0,0
356.87,1064,890,4,1,1
1595.56,4299,815,2,2,0
4224.53,1753,740,3,3,1
117.34,2543,938,2,3,0
4072.53,3035,665,3,0,1
1409.99,3863,943,0,1,0
591.71,2876,503,1,2,0
3483.99,2578,316,1,4,1
3145.09,1755,406,2,3,1
4387.48,3228,896,2,2,1
3675.62,2524,680,0,3,1
4017.6,1596,849,4,1,1
1410.89,4226,602,3,3,1
888.02,3834,875,0,4,0
3753.32,4606,786,0,1,0
4034.37,3674,432,2,0,0
4952.54,4889,483,2,2,1
2063.68,4506,679,4,3,0
1860.72,2834,966,4,1,0
3882.29,4170,208,2,1,0
1704.68,3663,914,1,3,1
4653.86,2395,578,4,0,0
4292.21,2586,802,0,3,0
2145.54,4433,580,2,0,0
3754.6,1111,861,3,3,0
3772.96,1452,559,3,1,0
516.52,3803,375,1,4,0
4512.86,4240,684,2,4,0
2526.76,3631,604,0,1,1
4132.46,3186,232,1,4,1
1600.93,2871,664,0,0,0
4477.72,3278,895,3,1,1
1946.62,2262,356,0,0,1
55.18,4031,764,3,1,1
4527.0,1252,401,4,0,0
457.34,3004,985,3,0,0
1597.25,2459,374,3,4,1
4750.36,2942,443,1,1,0
4753.09,3608,468,1,3,0
2867.62,4493,645,2,4,0
3159.55,2326,273,2,0,1
2242.78,3119,295,3,0,0
1466.76,4334,372,4,3,0
1643.99,2857,605,2,3,1
3362.92,3269,354,3,0,1
3762.12,2100,382,1,3,0
3958.1,1061,522,2,2,0
3948.3,2494,488,2,4,1
456.94,2180,457,3,1,0
2472.61,1805,786,3,3,1
288.74,3172,373,0,3,1
2748.09,3788,529,0,2,0
2208.21,2875,430,4,1,0
4438.63,3208,958,2,2,0
1755.22,1540,360,0,1,1
586.22,1625,385,3,4,0
715.82,2614,342,2,3,0
3807.79,4606,481,0,4,0
3091.47,1105,839,4,1,0
506.51,2154,877,4,3,0
421.45,4428,226,4,2,0
3505.14,2708,445,4,0,1
364.74,3823,686,3,2,0
4109.48,4925,846,4,0,0
3531.5,2908,401,1,2,1
407.66,4868,220,4,1,1
425.1,3049,790,0,4,1
4933.21,3280,869,2,0,0
1871.98,1368,293,0,1,0
1853.84,2274,207,2,4,0
4064.19,1945,671,3,4,1
4736.3,4904,538,2,3,1
4930.02,4179,458,1,3,1
3767.14,4347,254,4,3,0
1881.92,3227,747,0,0,1
418.42,4796,205,2,0,1
3885.96,1292,576,0,4,0
2792.46,1583,753,4,0,0
2121.69,3842,249,3,4,0
4531.87,3222,311,4,1,0
556.88,3170,345,3,2,0
2463.63,3274,429,0,4,1
57.76,4973,922,3,4,1
2343.83,3491,696,3,1,1
282.46,4884,505,3,3,0
594.97,3475,741,3,3,0
588.51,4154,660,3,3,1
3246.4,1764,827,2,4,0
3730.48,4729,425,3,4,0
2917.26,3679,258,3,0,1
4810.9,3112,275,4,0,0
1874.98,2304,627,4,2,0
1429.27,4866,927,4,2,0
4343.13,2414,331,3,0,1
1118.76,1427,697,4,4,0
4816.15,3665,792,2,1,0
61.76,3972,504,0,0,1
4849.42,3014,266,4,4,0
216.76,3859,429,4,0,0
4455.82,1106,532,2,3,0
2638.98,4619,476,1,0,0
4964.83,1658,783,1,3,0
369.91,4333,920,2,4,1
2769.72,4992,983,4,3,0
4846.54,2182,343,0,0,1
2615.97,3312,450,4,3,0
3147.36,4539,995,2,1,0
3479.05,2225,890,2,3,0
2273.25,1154,279,3,3,0
3138.16,4084,256,2,2,0
2921.99,4368,565,3,1,0
4505.89,1895,507,2,4,0
228.19,4905,373,3,3,1
1405.53,2521,661,3,1,0
4752.11,2620,949,4,4,0
4451.43,1992,877,3,1,1
2278.83,4863,795,1,2,0
3101.04,3292,692,2,4,1
1387.63,2323,759,0,4,1
941.42,2385,838,2,3,1
2319.03,4425,880,4,0,0
1767.41,4899,573,4,4,1
2918.7,4592,548,3,4,1
389.6,3433,266,4,2,1
4872.0,3806,529,4,2,1
4931.07,4383,393,2,2,0
3491.11,3461,354,1,3,1
2680.95,2301,359,1,4,0
1548.33,4821,895,3,2,0
4069.16,3762,465,4,2,0
3423.97,1758,367,4,1,0
813.92,1746,344,1,1,0
4554.72,1592,385,3,2,1
4112.86,4427,973,4,3,1
4749.05,2548,622,3,0,1
3628.87,3886,985,2,1,1
3067.46,1015,656,4,1,0
2091.8,1992,544,4,4,0
4663.71,2068,934,4,4,0
4330.45,2344,753,1,2,0
227.05,3698,715,1,4,1
132.81,4397,987,4,4,1
1882.94,3195,995,4,0,0
4052.96,3402,904,2,3,0
4936.39,4307,303,2,2,0
752.93,1702,446,3,0,0
2971.06,1612,222,3,2,0
1905.07,1104,724,1,3,0
4849.6,2497,343,0,2,0
4210.75,4833,929,2,4,1
4191.81,1395,894,3,3,0
2344.0,4517,953,2,0,1
2074.68,3653,392,2,0,1
1367.76,4291,664,0,1,0
282.82,3010,983,2,0,1
4323.75,4881,574,0,1,0
4064.69,1850,876,0,4,0
4998.59,2988,891,2,0,0
4983.19,1441,828,2,3,1
2777.6,2668,465,3,1,0
3845.17,1872,577,2,0,0
4723.88,1666,749,2,4,0
4248.39,2051,755,2,3,0
1237.49,3841,273,3,3,1
2253.27,3522,637,0,4,1
646.67,1627,425,3,0,0
4770.3,4376,507,2,2,0
3031.27,4817,547,4,0,1
1143.99,2428,675,2,1,1
3358.83,4584,514,3,1,1
3091.02,3549,724,3,0,0
1791.46,1347,624,1,1,0
568.67,2263,723,4,2,1
3358.19,2017,761,3,2,0
2602.02,1569,448,0,3,1
3861.82,4918,830,2,1,1
2601.3,3742,768,0,0,0
4261.06,4408,381,3,3,1
2759.98,3073,975,3,2,0
2805.13,4480,305,0,3,1
4383.39,4148,390,0,4,1
2018.01,2952,336,1,1,1
670.94,3264,899,2,0,1
144.88,2351,319,0,2,0
3775.93,3884,953,2,3,1
3101.93,3821,271,4,0,1
3520.69,4094,954,3,1,0
1065.61,4827,330,0,0,0
682.72,1669,656,4,1,0
73.71,1717,980,3,1,0
1753.59,3357,678,1,1,1
2950.0,3646,251,3,3,0
1961.83,1266,773,0,1,0
2187.94,2438,318,4,0,0
4520.89,3693,463,4,4,1
1741.93,4338,438,4,0,1
2570.43,2356,550,3,3,0
3918.48,2022,454,2,1,1
1983.32,4851,884,2,4,0
3110.81,3037,508,3,3,0
4311.96,3497,948,0,2,1
4747.65,1564,806,3,2,0
736.22,4682,694,2,2,0
4633.01,2270,256,3,4,0
2461.09,2059,602,4,0,0
1291.96,2424,266,0,4,0
2296.22,1027,245,0,4,0
4900.18,1219,805,1,4,1
2463.6,1405,849,3,2,0
1644.43,2637,568,4,0,0
3167.37,2798,804,3,4,0
1201.49,3318,431,1,0,1
380.24,2759,601,1,1,1
645.27,2674,760,3,4,1
641.1,1791,222,3,4,0
760.36,4582,773,3,4,1
695.0,1962,466,2,1,0
3204.73,2309,317,1,1,1
910.22,4525,799,0,2,0
1728.99,4833,800,2,3,1
4484.05,1833,254,4,0,0
2370.33,1316,352,0,3,0
3338.12,4661,438,0,4,1
862.43,2320,464,0,4,1
962.25,3385,467,1,2,0
205.3,2330,312,4,3,1
845.51,4499,365,2,4,0
1393.67,1350,867,4,3,1
885.88,1510,207,2,2,1
444.42,3572,913,1,3,0
604.06,4929,416,4,0,0
2304.43,1491,630,0,2,0
1032.46,2931,491,4,3,0
1821.99,2617,249,1,4,1
2517.58,3056,306,1,1,1
3452.28,2520,208,1,1,1
197.52,4796,944,2,2,0
3997.25,2583,899,4,1,0
3139.87,3608,655,0,0,0
409.71,4892,522,0,2,1
4368.02,3487,508,3,4,0
4604.44,2575,821,1,4,1
306.33,4946,344,0,2,0
1385.11,3839,939,1,1,1
4031.2,2761,611,0,1,0
3741.55,2991,313,4,4,1
923.42,4179,774,3,0,0
1047.54,2268,598,1,1,1
1852.99,4326,474,2,0,1
2423.13,3080,323,2,1,0
3091.66,2046,285,0,2,0
1845.2,3892,781,4,3,1
2313.21,3613,246,1,4,0
3737.61,4892,910,3,2,1
184.38,1048,400,4,1,1
1262.93,1461,475,0,4,0
3567.03,3637,748,4,3,0
4476.14,1335,914,3,3,1
2558.88,2381,329,4,1,1
2661.04,2145,647,1,4,1
536.75,4515,588,0,1,0
2237.61,1358,775,3,3,1
2663.55,4673,462,0,2,0
1213.11,3393,831,1,2,1
1346.95,1192,477,3,0,0
1887.04,2439,913,3,3,0
101.34,2400,245,0,3,0
1611.07,4534,367,4,1,0
1058.03,1755,644,4,0,1
1638.16,2684,821,2,0,0
599.69,4217,245,2,4,0
4452.75,3525,923,3,1,0
2968.37,1827,739,0,2,0
3395.83,1889,286,3,4,0
3946.07,1652,584,0,0,0
2492.71,3455,868,1,2,0
435.51,3333,464,2,3,0
2686.0,2921,976,3,1,0
2934.62,1850,221,1,0,0
3727.45,1110,967,4,3,1
2158.87,1619,902,2,0,1
638.77,4950,649,0,2,1
1419.6,1792,431,4,4,1
1816.05,3097,385,4,2,1
3229.94,4085,525,1,1,0
2854.32,2157,382,3,1,0
1781.13,1587,596,3,0,1
4932.59,3643,680,1,2,1
3029.27,4414,602,4,4,0
1186.9,3717,662,2,1,0
509.81,2309,616,4,4,1
765.14,2957,401,1,3,1
1230.54,3361,264,4,0,0
804.25,3653,754,4,4,1
933.65,1296,932,4,0,1
1426.19,2629,216,4,3,0
867.69,1568,996,2,4,1
4483.93,2187,382,0,4,1
402.09,1831,590,0,3,0
2623.03,4568,243,3,2,1
2052.57,1609,899,0,4,0
4911.91,1015,681,0,4,1
561.08,4415,462,0,1,1
1989.88,4149,373,4,2,0
4847.38,2369,640,4,4,0
4327.67,1071,765,2,3,1
4085.54,1269,419,4,0,1
1290.26,1286,757,4,3,0
855.27,1065,593,0,2,1
3343.55,1879,971,2,1,0
4646.95,1067,394,2,1,0
2784.26,2216,608,0,1,1
2858.49,4126,670,0,3,1
1400.62,4027,546,2,0,1
3847.7,2402,661,1,0,0
936.03,1973,260,0,4,0
1619.07,4239,365,0,0,1
2127.76,4480,871,2,0,0
2538.54,1507,350,1,4,0
1212.81,4608,310,1,3,1
575.07,4714,687,3,3,1
3053.49,3884,748,1,2,0
1443.86,2125,202,0,3,0
2906.61,1885,682,4,1,1
772.66,3841,212,2,1,1
2406.22,4879,361,0,2,0
2663.41,4877,543,2,0,0
260.07,3469,648,1,2,0
1683.68,2987,531,2,4,1
672.94,1774,463,0,2,0
317.81,3525,282,4,2,1
4949.81,1925,976,0,1,0
1612.45,1119,533,3,4,0
4049.56,2938,579,2,4,1
1273.95,4814,418,0,2,0
3407.83,4362,857,1,4,1
3801.38,1487,653,1,4,0
2978.6,4232,872,0,3,0
2358.41,4744,940,3,4,0
2059.79,3125,945,2,0,0
1744.99,4109,288,3,4,0
4647.72,4465,532,4,1,1
4153.27,1440,509,0,3,0
4825.17,4611,926,3,1,1
622.36,1461,619,4,1,0
3654.61,1611,808,3,0,0
4691.76,2317,924,4,3,0
906.98,4471,553,1,2,1
333.41,2659,299,1,4,0
3705.86,1916,344,0,0,0
2872.79,4163,209,3,0,0
4209.3,4838,243,1,2,0
699.72,3656,962,2,0,0
3976.54,1005,585,1,2,0
1008.93,1680,938,1,2,0
819.12,3942,960,3,2,0
822.16,3318,694,4,0,1
4073.06,2643,692,2,2,1
3326.32,4970,368,2,0,1
2615.8,3858,841,4,3,0
1794.79,3606,730,3,2,0
4386.13,1098,535,1,0,1
1962.83,1525,946,4,0,0
4083.18,3241,712,2,0,0
2196.24,2180,329,2,4,1
1885.35,4971,738,1,4,1
2313.94,2689,713,1,2,1
1507.59,2138,449,0,3,1
3738.3,1395,933,4,2,1
2514.1,1769,337,1,1,1
1161.83,4728,474,0,1,0
4497.97,2826,663,3,3,1
1920.07,4071,340,2,3,1
2718.22,2545,455,4,3,0
4532.45,3927,655,3,4,0
3121.57,4285,633,4,4,0
585.37,3792,806,4,1,1
4699.22,1682,372,1,3,0
3138.91,2556,672,0,0,0
1675.19,1014,622,4,1,0
697.22,4490,638,3,3,1
3970.33,3415,256,4,0,1
3100.74,3685,697,0,3,0
2667.77,3900,813,2,2,0
4469.57,4924,368,4,0,0
3943.2,2236,781,3,2,0
759.22,3747,760,2,4,0
1559.3,4755,627,2,1,0
1243.2,4830,618,1,3,0
3719.99,1004,546,1,1,0
168.63,3278,716,4,3,0
2849.88,4272,654,3,2,1
3812.53,2908,913,1,0,0
4383.95,2425,401,0,0,0
1711.07,4220,378,0,3,0
4106.47,2607,256,2,2,0
554.05,4563,897,2,3,0
4232.42,4059,803,2,3,0
638.32,4297,700,0,3,1
1987.04,3633,938,1,0,0
3986.68,4890,311,1,3,0
750.44,1168,347,4,0,1
1147.03,3808,980,3,4,0
3611.54,1791,914,0,2,1
3600.46,1999,577,2,4,0
3206.1,1151,547,3,3,0
3470.05,4063,557,2,0,0
2714.08,3271,255,3,2,0
1259.74,1503,515,3,1,1
1729.13,4808,384,1,2,0
908.81,2573,253,4,2,0
4542.34,3091,236,4,3,1
2917.38,3744,922,2,4,0
2004.86,1503,469,0,4,1
2310.57,4312,931,4,1,0
4736.47,3977,707,0,3,1
767.6,1842,427,2,2,1
2931.56,1350,627,0,4,0
2529.94,4793,922,3,4,0
3057.66,3070,200,3,0,0
91.53,2659,222,2,2,0
4360.75,1597,702,0,3,0
4660.66,2066,647,0,4,1
2826.1,3513,995,2,3,0
3483.56,1039,695,4,2,0
4612.57,3350,624,1,2,0
3536.49,4752,899,4,4,0
763.54,1174,217,1,1,0
2881.87,1998,644,0,3,0
3033.97,4603,760,1,3,0
2121.23,2484,758,1,0,0
3682.48,3668,826,0,2,1
4671.9,2216,238,3,2,1
4627.92,3291,928,1,4,0
2254.75,1835,409,2,4,1
567.08,3327,973,4,4,0
4924.22,4811,410,0,0,1
4194.65,2059,764,0,1,0
624.19,3604,480,1,4,1
4604.29,1897,332,3,4,1
4349.61,2563,648,3,4,1
2594.67,4225,463,4,0,1
2956.79,2046,310,4,3,0
1995.61,3766,754,3,1,0
274.75,1931,437,3,3,1
1676.65,3138,656,3,2,0
4014.46,3437,958,1,2,0
24.16,4430,715,2,4,0
1668.16,3597,372,4,3,1
1991.45,3978,392,0,0,0
2687.44,2251,714,3,1,1
4599.36,2225,989,3,3,1
1732.38,2373,767,2,3,0
1735.42,4892,985,3,1,0
3687.77,4837,608,4,3,1
2261.64,2061,887,3,3,1
1123.8,3780,827,2,1,0
2262.75,1499,283,1,0,0
705.14,2722,870,4,1,0
882.76,4114,997,1,4,0
2492.34,3918,279,0,4,0
2095.21,4697,777,2,4,1
4574.31,4843,408,0,4,1
1812.61,3564,721,0,2,1
2903.36,3115,398,0,0,0
3161.69,2763,770,0,2,0
66.46,3170,433,2,3,0
3318.02,2708,443,1,3,1
891.0,1335,592,3,1,0
4805.39,2176,765,0,4,1
744.16,4021,645,3,1,1
2073.71,1778,592,3,3,1
427.66,4740,208,0,4,0
4984.37,2185,812,4,0,1
2511.47,4285,914,3,3,0
2977.33,2933,352,4,1,1
336.32,4447,309,1,1,0
3750.05,4991,465,3,3,0
1050.32,2466,572,2,2,0
4490.37,3470,351,1,0,0
1026.49,2561,794,1,3,1
954.25,1938,614,4,3,0
183.71,1803,845,0,1,1
2360.86,4772,525,2,4,0
2824.64,2935,871,2,4,0
329.48,1633,750,4,4,0
3877.86,2253,375,4,1,0
2266.99,2082,724,1,4,1
2622.43,3143,514,4,3,0
2204.37,2285,266,0,2,1
2004.41,1353,959,1,2,0
2798.64,4383,752,1,2,0
777.05,2159,383,1,4,0
910.46,2885,234,2,2,1
4309.07,2818,704,2,4,1
4730.63,1966,275,1,3,0
1867.17,3970,671,0,3,0
1354.45,3520,781,3,1,1
3220.35,4703,945,1,1,1
2044.26,3477,722,4,0,0
127.91,4022,482,3,3,1
781.61,3584,735,2,4,0
3580.15,4925,473,2,0,0
3294.96,2169,738,3,3,1
136.45,2547,253,4,4,1
1110.64,3134,254,2,3,1
1156.14,1108,944,2,3,0
3359.79,4494,476,1,4,0
99.53,2368,642,0,3,1
